"label","bilingual_gloss","english","maori","source_id","source_url","sign_id","sign_title","candidate_status","candidate_rationale","video_count"
"car","car / motoka","Car","Motoka","nzsl_online","https://www.nzsl.nz/signs/8001","8001","cable car","reject","Different concept: cable car","2"
"car","car / motoka","Car","Motoka","nzsl_online","https://www.nzsl.nz/signs/8970","8970","park (car)","reject","Different concept: park (car)","2"
"coach","coach / pahi nui","Coach","Pahi nui","nzsl_online","https://www.nzsl.nz/signs/4216","4216","shuttle bus, van","candidate","Related transport subtype: shuttle bus, van","3"
"coach","coach / pahi nui","Coach","Pahi nui","nzsl_online","https://www.nzsl.nz/signs/744","744","coach","seed","Exact match: coach","3"
"crossing","crossing / ara whakawhiti","Crossing","Ara whakawhiti","nzsl_online","https://www.nzsl.nz/signs/1974","1974","level crossing barrier","candidate","Related infrastructure term: level crossing barrier","2"
"crossing","crossing / ara whakawhiti","Crossing","Ara whakawhiti","nzsl_online","https://www.nzsl.nz/signs/4538","4538","pedestrian crossing","seed","Exact transport match: pedestrian crossing","2"
"ferry","ferry / waka whakawhiti","Ferry","Waka whakawhiti","nzsl_online","https://www.nzsl.nz/signs/859","859","boat, sail","candidate","No exact ferry entry found; boat, sail remains proxy only","3"
"ferry","ferry / waka whakawhiti","Ferry","Waka whakawhiti","nzsl_online","https://www.nzsl.nz/signs/859","859","boat, sail","candidate","Semantic proxy only: boat, sail","3"
"go","go / haere","Go","Haere","nzsl_online","https://www.nzsl.nz/signs/1126","1126","go ahead, move on","candidate","Related phrase: go ahead, move on","3"
"go","go / haere","Go","Haere","nzsl_online","https://www.nzsl.nz/signs/1197","1197","go ahead","candidate","Related phrase: go ahead","3"
"go","go / haere","Go","Haere","nzsl_online","https://www.nzsl.nz/signs/2410","2410","go to","candidate","Related phrase: go to","2"
"go","go / haere","Go","Haere","nzsl_online","https://www.nzsl.nz/signs/2582","2582","go","seed","Exact match: go","2"
"go","go / haere","Go","Haere","nzsl_online","https://www.nzsl.nz/signs/924","924","go","seed","Exact match: go","2"
"hello","hello / kia ora","Hello","Kia ora","nzsl_online","https://www.nzsl.nz/signs/1301","1301","goodbye, hello","candidate","Related but broader: goodbye, hello","3"
"hello","hello / kia ora","Hello","Kia ora","nzsl_online","https://www.nzsl.nz/signs/321","321","hello, salute","candidate","Related but broader: hello, salute","3"
"hello","hello / kia ora","Hello","Kia ora","nzsl_online","https://www.nzsl.nz/signs/5243","5243","goodbye, hello","candidate","Related but broader: goodbye, hello","3"
"hello","hello / kia ora","Hello","Kia ora","nzsl_online","https://www.nzsl.nz/signs/6351","6351","kia ora","seed","Exact match: kia ora","2"
"help","help / awhina","Help","Awhina","nzsl_online","https://www.nzsl.nz/signs/1123","1123","help","seed","Exact match: help","2"
"help","help / awhina","Help","Awhina","nzsl_online","https://www.nzsl.nz/signs/384","384","help","seed","Exact match: help","2"
"help","help / awhina","Help","Awhina","nzsl_online","https://www.nzsl.nz/signs/5091","5091","help","seed","Exact match: help","2"
"late","late / tomuri","Late","Tomuri","nzsl_online","https://www.nzsl.nz/signs/2393","2393","too late","candidate","Different emphasis: too late","2"
"late","late / tomuri","Late","Tomuri","nzsl_online","https://www.nzsl.nz/signs/2757","2757","late","seed","Exact match: late","2"
"late","late / tomuri","Late","Tomuri","nzsl_online","https://www.nzsl.nz/signs/2758","2758","late","seed","Exact match: late","2"
"late","late / tomuri","Late","Tomuri","nzsl_online","https://www.nzsl.nz/signs/419","419","late","seed","Exact match: late","2"
"late","late / tomuri","Late","Tomuri","nzsl_online","https://www.nzsl.nz/signs/5811","5811","delay","candidate","Related concept: delay","2"
"leave","leave / wehe","Leave","Wehe","nzsl_online","https://www.nzsl.nz/signs/1175","1175","exit","candidate","Related concept: exit","2"
"leave","leave / wehe","Leave","Wehe","nzsl_online","https://www.nzsl.nz/signs/432","432","leave","seed","Exact match: leave","2"
"leave","leave / wehe","Leave","Wehe","nzsl_online","https://www.nzsl.nz/signs/5915","5915","drop off","candidate","Related transport phrase: drop off","2"
"leave","leave / wehe","Leave","Wehe","nzsl_online","https://www.nzsl.nz/signs/777","777","leave, let go","candidate","Broader gloss: leave, let go","3"
"lift","lift / hiki","Lift","Hiki","nzsl_online","https://www.nzsl.nz/signs/234","234","lift","seed","Exact match: lift","2"
"lift","lift / hiki","Lift","Hiki","nzsl_online","https://www.nzsl.nz/signs/4694","4694","lift","seed","Exact match: lift","2"
"lift","lift / hiki","Lift","Hiki","nzsl_online","https://www.nzsl.nz/signs/508","508","lift","seed","Exact match: lift","2"
"lift","lift / hiki","Lift","Hiki","nzsl_online","https://www.nzsl.nz/signs/934","934","lift","seed","Exact match: lift","2"
"motorbike","motorbike / motopaika","Motorbike","Motopaika","nzsl_online","https://www.nzsl.nz/signs/3358","3358","motorbike","seed","Exact match: motorbike","2"
"no","no / kaore","No","Kaore","nzsl_online","https://www.nzsl.nz/signs/1464","1464","no","seed","Exact match: no","2"
"no","no / kaore","No","Kaore","nzsl_online","https://www.nzsl.nz/signs/3272","3272","no","seed","Exact match: no","2"
"no","no / kaore","No","Kaore","nzsl_online","https://www.nzsl.nz/signs/5089","5089","no more","candidate","Related phrase: no more","2"
"no","no / kaore","No","Kaore","nzsl_online","https://www.nzsl.nz/signs/5337","5337","yes or no","candidate","Phrase: yes or no","2"
"path","path / ara","Path","Ara","nzsl_online","https://www.nzsl.nz/signs/2804","2804","path, road","seed","Exact match available as broader gloss: path, road","3"
"pay","pay / utu","Pay","Utu","nzsl_online","https://www.nzsl.nz/signs/282","282","concentrate, pay attention","reject","Different meaning: pay attention","3"
"pay","pay / utu","Pay","Utu","nzsl_online","https://www.nzsl.nz/signs/3850","3850","pay","seed","Exact match: pay","2"
"pay","pay / utu","Pay","Utu","nzsl_online","https://www.nzsl.nz/signs/3863","3863","pay","seed","Exact match: pay","2"
"pay","pay / utu","Pay","Utu","nzsl_online","https://www.nzsl.nz/signs/8154","8154","pay","seed","Exact match: pay","2"
"platform","platform / papa waka","Platform","Papa waka","nzsl_online","https://www.nzsl.nz/signs/6002","6002","platform","seed","Exact match: platform","2"
"please","please / tena koa","Please","Tena koa","nzsl_online","https://www.nzsl.nz/signs/385","385","please","seed","Exact match: please","2"
"please","please / tena koa","Please","Tena koa","nzsl_online","https://www.nzsl.nz/signs/8974","8974","please","seed","Exact match: please","2"
"ramp","ramp / arawhata","Ramp","Arawhata","nzsl_online","https://www.nzsl.nz/signs/6140","6140","ramp, (go) uphill","seed","Exact match: ramp, (go) uphill","3"
"sorry","sorry / aroha mai","Sorry","Aroha mai","nzsl_online","https://www.nzsl.nz/signs/1471","1471","sorry","seed","Exact match: sorry","2"
"sorry","sorry / aroha mai","Sorry","Aroha mai","nzsl_online","https://www.nzsl.nz/signs/1708","1708","sorry","seed","Exact match: sorry","2"
"sorry","sorry / aroha mai","Sorry","Aroha mai","nzsl_online","https://www.nzsl.nz/signs/3724","3724","sorry","seed","Exact match: sorry","2"
"sorry","sorry / aroha mai","Sorry","Aroha mai","nzsl_online","https://www.nzsl.nz/signs/769","769","sympathise","candidate","Related concept: sympathise","2"
"station","station / teihana","Station","Teihana","nzsl_online","https://www.nzsl.nz/signs/2916","2916","railway station","seed","Exact match: railway station","2"
"station","station / teihana","Station","Teihana","nzsl_online","https://www.nzsl.nz/signs/845","845","house, station","reject","Ambiguous and broader: house, station","3"
"stop","stop / tauranga pahi","Stop / Bus stop","Tauranga pahi","nzsl_online","https://www.nzsl.nz/signs/3677","3677","stop it!","reject","Different function: stop it!","2"
"stop","stop / tauranga pahi","Stop / Bus stop","Tauranga pahi","nzsl_online","https://www.nzsl.nz/signs/425","425","stop","seed","Exact match: stop","2"
"stop","stop / tauranga pahi","Stop / Bus stop","Tauranga pahi","nzsl_online","https://www.nzsl.nz/signs/5971","5971","stop","seed","Exact match: stop","2"
"stop","stop / tauranga pahi","Stop / Bus stop","Tauranga pahi","nzsl_online","https://www.nzsl.nz/signs/6376","6376","bus stop","seed","Exact match for requested gloss stop / bus stop","2"
"taxi","taxi / tekihi","Taxi","Tekihi","nzsl_online","https://www.nzsl.nz/signs/3810","3810","taxi","seed","Exact match: taxi","2"
"thank_you","thank you / mihi","Thank you","Mihi","nzsl_online","https://www.nzsl.nz/signs/1015","1015","thank","seed","Exact match: thank","2"
"ticket","ticket / tikiti","Ticket","Tikiti","nzsl_online","https://www.nzsl.nz/signs/4472","4472","ticket","seed","Exact match: ticket","2"
"ticket","ticket / tikiti","Ticket","Tikiti","nzsl_online","https://www.nzsl.nz/signs/4480","4480","clip ticket","candidate","Subtype: clip ticket","2"
"train","train / tereina","Train","Tereina","nzsl_online","https://www.nzsl.nz/signs/2827","2827","train","seed","Exact match: train","2"
"train","train / tereina","Train","Tereina","nzsl_online","https://www.nzsl.nz/signs/2926","2926","train","seed","Exact match: train","2"
"train","train / tereina","Train","Tereina","nzsl_online","https://www.nzsl.nz/signs/3592","3592","train","seed","Exact match: train","2"
"train","train / tereina","Train","Tereina","nzsl_online","https://www.nzsl.nz/signs/5934","5934","train","seed","Exact match: train","2"
"truck","truck / taraka","Truck","Taraka","nzsl_online","https://www.nzsl.nz/signs/3587","3587","bus, truck","candidate","Related broader gloss: bus, truck","3"
"truck","truck / taraka","Truck","Taraka","nzsl_online","https://www.nzsl.nz/signs/8995","8995","truck","seed","Exact match: truck","2"
"wait","wait / tatari","Wait","Tatari","nzsl_online","https://www.nzsl.nz/signs/3518","3518","wait","seed","Exact match: wait","2"
"wait","wait / tatari","Wait","Tatari","nzsl_online","https://www.nzsl.nz/signs/404","404","wait","seed","Exact match: wait","2"
"wait","wait / tatari","Wait","Tatari","nzsl_online","https://www.nzsl.nz/signs/4213","4213","hold on","candidate","Related phrase: hold on","2"
"wait","wait / tatari","Wait","Tatari","nzsl_online","https://www.nzsl.nz/signs/7216","7216","wait a minute","candidate","Narrower phrase: wait a minute","2"
"wait","wait / tatari","Wait","Tatari","nzsl_online","https://www.nzsl.nz/signs/909","909","wait","seed","Exact match: wait","2"
"walk","walk / hikoi","Walk","Hikoi","nzsl_online","https://www.nzsl.nz/signs/2883","2883","walk","seed","Exact match: walk","2"
"walk","walk / hikoi","Walk","Hikoi","nzsl_online","https://www.nzsl.nz/signs/2942","2942","walk across","candidate","Related but narrower: walk across","2"
"walk","walk / hikoi","Walk","Hikoi","nzsl_online","https://www.nzsl.nz/signs/4993","4993","walk","seed","Exact match: walk","2"
"wheelchair","wheelchair / turu wira","Wheelchair","Turu wira","nzsl_online","https://www.nzsl.nz/signs/3972","3972","wheelchair","seed","Exact match: wheelchair","2"
"wheelchair","wheelchair / turu wira","Wheelchair","Turu wira","nzsl_online","https://www.nzsl.nz/signs/5990","5990","wheelchair","seed","Exact match: wheelchair","2"
"when","when / awhea","When","Awhea","nzsl_online","https://www.nzsl.nz/signs/1338","1338","when","seed","Exact match: when","3"
"where","where / kei hea","Where","Kei hea","nzsl_online","https://www.nzsl.nz/signs/1544","1544","where","seed","Exact match: where","2"
"where","where / kei hea","Where","Kei hea","nzsl_online","https://www.nzsl.nz/signs/4996","4996","what, where, why","candidate","Broader gloss: what, where, why","4"
"yes","yes / ae","Yes","Ae","nzsl_online","https://www.nzsl.nz/signs/3236","3236","yes","seed","Exact match: yes","2"
"yes","yes / ae","Yes","Ae","nzsl_online","https://www.nzsl.nz/signs/5337","5337","yes or no","candidate","Phrase: yes or no","2"
